year,country_iso,country_code,reported_classification_imports,reported_classification_exports,reported_currency_imports,reported_currency_exports,trade_flow_imports,trade_flow_exports,currency_conversion_factor_imports,currency_conversion_factor_exports,trade_system_imports,trade_system_exports,valuation_imports,valuation_exports,partner_imports,partner_exports
1979,lka,144,sitc rev.2,sitc rev.2,lkr,lkr,imports,exports,0.064205,0.0642,special,general,cif,fob,origin,last known destination
1979,swe,752,sitc rev.2,sitc rev.2,sek,sek,imports,exports,0.233698,0.23352,general,general,cif,fob,origin,last known destination
1979,che,757,sitc rev.2,sitc rev.2,chf,chf,imports,exports,0.602326,0.60205,special,special,cif,fob,consignment,last known destination
1979,syr,760,sitc rev.2,sitc rev.2,syp,syp,imports,exports,0.25477,0.25477,special,special,cif,fob,origin,last known destination
1979,tha,764,sitc rev.2,sitc rev.2,thb,thb,imports,exports,0.4897,0.4897,general,general,cif,fob,origin,consignment
1979,tgo,768,sitc rev.2,sitc rev.2,xof,xof,imports,exports,0.470416,0.470416,special,special,cif,fob,origin,last known destination
1979,ton,776,sitc rev.1,sitc rev.1,top,top,imports,exports,1.1176,1.11426,general,general,cif,fob,origin,last known destination
1979,tto,780,sitc rev.2,sitc rev.2,ttd,ttd,imports,exports,0.41667,0.41667,special,special,cif,fob,origin,last known destination
1979,tun,788,sitc rev.1,sitc rev.1,tnd,tnd,imports,exports,2.46262,2.46411,general,general,cif,fob,origin,last known destination
1979,tur,792,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1979,tuv,798,sitc rev.1,sitc rev.1,aud,aud,imports,exports,1.11789,NA,general,null,fob,NA,consignment,NA
1979,usa,841,sitc rev.2,sitc rev.2,usd,usd,imports,exports,1,1,general,general,cif,fob,origin,last known destination
1979,are,784,sitc rev.1,sitc rev.1,aed,aed,imports,exports,0.262129,0.26242,general,general,cif,fob,origin,last known destination
1979,gbr,826,sitc rev.2,sitc rev.2,gbp,gbp,imports,exports,2.12449,2.126694,general,general,cif,fob,consignment,last known destination
1979,tza,834,sitc rev.1,sitc rev.1,tzs,tzs,imports,exports,0.121221,0.121239,general,general,cif,fob,origin,last known destination
1979,ury,858,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,consignment,last known destination
1979,ven,862,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,general,general,fob,fob,origin,consignment
1979,zmb,894,sitc rev.2,sitc rev.2,zmk,zmk,imports,exports,1.26362,1.261907,general,general,fob,fob,origin,last known destination
1980,dza,12,sitc rev.2,sitc rev.2,dzd,dzd,imports,exports,0.260221,0.26059,special,special,cif,fob,origin,consignment
1980,ago,24,sitc rev.2,sitc rev.2,pte,pte,imports,exports,NA,0.33761,null,special,NA,fob,NA,last known destination
1980,arg,32,sitc rev.2,sitc rev.2,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1980,aus,36,sitc rev.2,sitc rev.2,aud,aud,imports,exports,1.12514,1.12371,general,general,fob,fob,origin,last known destination
1980,aut,40,sitc rev.2,sitc rev.2,ats,ats,imports,exports,0.77358,0.77339,special,special,cif,fob,origin,last known destination
1980,bhs,44,sitc rev.1,sitc rev.1,bsd,bsd,imports,exports,1,1,general,general,cif,fob,origin,last known destination
1980,bhr,48,sitc rev.1,sitc rev.1,bhd,bhd,imports,exports,2.6549,2.65332,general,general,cif,fob,origin,last known destination
1980,bgd,50,sitc rev.2,sitc rev.2,bdt,bdt,imports,exports,0.064972,0.0648,general,general,cif,fob,consignment,last known destination
1980,brb,52,sitc rev.2,sitc rev.2,xcd,xcd,imports,exports,0.4972,0.4972,general,general,cif,fob,origin,last known destination
1980,bel,58,sitc rev.2,sitc rev.2,bef,bef,imports,exports,0.34206,0.342,special,special,cif,fob,origin,last known destination
1980,blz,84,sitc rev.1,sitc rev.1,bzd,bzd,imports,exports,0.5,0.5,general,general,cif,fob,origin,last known destination
1980,ben,204,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.474983,0.47477,special,special,cif,fob,origin,last known destination
1980,bmu,60,sitc rev.1,sitc rev.1,bmd,bmd,imports,exports,1,1,general,general,cif,fob,origin,last known destination
1980,bol,68,sitc rev.2,sitc rev.2,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1980,bra,76,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,general,cif,fob,purchase,last known destination
1980,brn,96,sitc rev.1,sitc rev.1,bnd,bnd,imports,exports,0.45869,0.458693,special,general,cif,fob,origin,last known destination
1980,bfa,854,sitc rev.2,sitc rev.2,xof,xof,imports,exports,0.4734,0.4731,special,special,cif,fob,origin,last known destination
